CurrentOfficial_Name,OperatorOwner_Country,Users,Orbit_Class,GEOlongitude,Perigee_km,Apogee_km,LaunchMass_kg,DryMass_kg,Power_watts,Launch_Date,ExpectedLifetime,Contractor_Country,Launch_Vehicle,GEOlatitude,Users_group,Vehicle_group,Year
Al-Farabi-2,Kazakhstan,Civil,LEO,0.0,573.0,589.0,4.0,,,2018-12-03,,Kazakhstan,Falcon 9,0.0,Civil,Falcon,2018
ALiCE,USA,Military,LEO,0.0,443.0,886.0,5.0,,,2013-12-06,,USA,Atlas 5,0.0,Military,Atlas,2013
Alsat-2B,Algeria,Government,LEO,0.0,646.0,660.0,117.0,,,2016-09-26,5.0,France/UK/Germany/Spain,PSLV,0.0,Government,PSLV,2016
Alsat-1B,Algeria,Government,LEO,0.0,661.0,704.0,103.0,,,2016-09-26,5.0,UK,PSLV,0.0,Government,PSLV,2016
AlSat-1N,Algeria,Government,LEO,0.0,661.0,698.0,10.0,,,2016-09-26,,UK,PSLV,0.0,Government,PSLV,2016
Alsat-2A,Algeria,Government,LEO,0.0,672.0,674.0,130.0,,,2010-07-12,5.0,France/UK/Germany/Spain,PSLV,0.0,Government,PSLV,2010
Amazonas-2,Spain,Commercial,GEO,-61.0,,,,,,2009-10-01,15.0,France/UK/Germany/Spain,Ariane 5,0.0,Commercial,Ariane,2009
Amazonas-3,Spain,Commercial,GEO,-61.0,,,,,,2013-02-07,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2013
Amazonas-4A,Spain,Commercial,GEO,-61.0,,,,,,2014-03-22,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2014
Amazonas-5,Spain,Commercial,GEO,-61.0,,,,,,2017-09-12,15.0,USA,Proton,0.0,Commercial,Proton,2017
AMC-1,USA,Commercial,GEO,-129.15,,,,,,1996-09-08,15.0,USA,Atlas 2A,0.0,Commercial,Atlas,1996
AMC-11,USA,Commercial,GEO,-130.93,,,,,,2004-05-19,15.0,USA,Atlas 2AS,0.0,Commercial,Atlas,2004
AMC-15,USA,Commercial,GEO,-105.04,,,,,,2004-10-14,15.0,USA,Proton M,0.0,Commercial,Proton,2004
AMC-16,USA,Commercial,GEO,-84.98,,,,,,2004-12-17,15.0,USA,Atlas 5,0.0,Commercial,Atlas,2004
AMC-18,USA,Commercial,GEO,-104.97,,,,918.0,,2006-12-08,15.0,USA,Ariane 5,0.0,Commercial,Ariane,2006
AMC-2,USA,Commercial,GEO,-100.98,,,,,,1997-01-30,15.0,USA,Ariane 44L,0.0,Commercial,Ariane,1997
AMC-21,USA,Commercial,GEO,-124.86,,,,,,2008-08-14,15.0,USA,Ariane 5 ECA,0.0,Commercial,Ariane,2008
AMC-4,USA,Commercial,GEO,-100.99,,,,,,1999-11-13,15.0,USA,Ariane 44LP,0.0,Commercial,Ariane,1999
AMC-6,USA,Commercial,GEO,-71.98,,,,,,2000-10-22,15.0,USA,Proton K,0.0,Commercial,Proton,2000
AMC-8,USA,Commercial,GEO,-139.0,,,,919.0,,2000-12-19,15.0,USA,Ariane 5G,0.0,Commercial,Ariane,2000
AmGU-1,Russia,Civil,LEO,0.0,514.0,547.0,4.0,,,2019-07-05,,Russia,Soyuz 2.1b,0.0,Civil,Soyuz,2019
Amos 17,Israel,Military/Commercial,GEO,17.0,,,,,,2019-08-06,20.0,USA,Falcon 9,0.0,Dual,Falcon,2019
Amos 3,Israel,Military/Commercial,GEO,-3.99,,,,,,2008-04-28,12.0,Israel,Zenit 3SLB,0.0,Dual,Zenit,2008
Amos 4,Israel,Military/Commercial,GEO,65.0,,,,,,2013-08-31,12.0,Israel,Zenit 2SB,0.0,Dual,Zenit,2013
Amsat-Oscar 7,USA,Civil,LEO,0.0,,,29.0,,,1974-11-15,,USA,Delta 2310,0.0,Civil,Delta,1974
ANASIS-II,South Korea,Military,GEO,115.9,,,,,,2020-07-20,15.0,France/UK/Germany/Spain,Falcon 9,0.0,Military,Falcon,2020
ANDESITE Mule,USA,Civil,LEO,0.0,582.0,600.0,9.0,,,2020-06-13,,USA,Electron,0.0,Civil,Electron,2020
ANGELS,ESA,Government,LEO,0.0,509.0,524.0,18.0,,,2019-12-18,,ESA,Soyuz,0.0,Government,Soyuz,2019
